Insertions	Controls
1	1
1	1
1	1
1	1
1	1
1	1.115
1	1.419
1	2.155
1	3.764
1	6.722
1	11.258
1	17.929
1	27.169
1	36.647
1	49.244
1	64.798
1	83.384
1	102.661
1	123.945
1	146.101
1	169.335
1	192.963
1	216.825
1	239.549
44	263.218
64	287.014
69	311.95
75	337.851
77	361.831
97	387.407
116	413.734
128	440.588
154	466.133
156	491.285
212	517.546
218	544.133
222	570.969
222	595.906
250	621.224
301	646.887
326	673.475
339	700.372
370	728.679
376	755.557
402	783.583
409	810.15
422	837.019
495	863.596
514	890.433
517	918.281
520	946.024
547	973.424
554	1002.373
602	1031.788
647	1058.977
695	1087.007
710	1115.064
743	1145.035
757	1175.701
772	1203.952
793	1233.257
835	1262.435
842	1291.889
852	1321.673
908	1351.651
932	1382.663
957	1412.942
979	1444.647
997	1476.804
