ID	121|sk1-rmv|chr3:200001-210000
0|sk1-rmv|chr1:1-10000	NA
1|sk1-rmv|chr1:10001-20000	77.61250985
2|sk1-rmv|chr1:20001-30000	NA
3|sk1-rmv|chr1:30001-40000	101.6497823
4|sk1-rmv|chr1:40001-50000	75.14096585
5|sk1-rmv|chr1:50001-60000	55.68509202
6|sk1-rmv|chr1:60001-70000	56.81537129
7|sk1-rmv|chr1:70001-80000	63.92859549
8|sk1-rmv|chr1:80001-90000	60.13839234
9|sk1-rmv|chr1:90001-100000	62.61747154
10|sk1-rmv|chr1:100001-110000	65.60140881
11|sk1-rmv|chr1:110001-120000	48.68489574
12|sk1-rmv|chr1:120001-130000	49.2198946
13|sk1-rmv|chr1:130001-140000	24.73051042
14|sk1-rmv|chr1:140001-150000	28.70909345
15|sk1-rmv|chr1:150001-160000	34.36802499
16|sk1-rmv|chr1:160001-170000	29.15366996
17|sk1-rmv|chr1:170001-180000	49.86792138
18|sk1-rmv|chr1:180001-190000	66.33985793
19|sk1-rmv|chr1:190001-200000	NA
20|sk1-rmv|chr1:200001-203893	NA
21|sk1-rmv|chr2:1-10000	74.2894888
22|sk1-rmv|chr2:10001-20000	44.60081998
23|sk1-rmv|chr2:20001-30000	79.64701253
24|sk1-rmv|chr2:30001-40000	67.7790802
25|sk1-rmv|chr2:40001-50000	54.38903846
26|sk1-rmv|chr2:50001-60000	65.88774623
27|sk1-rmv|chr2:60001-70000	50.01862528
28|sk1-rmv|chr2:70001-80000	48.2855304
29|sk1-rmv|chr2:80001-90000	60.72613756
30|sk1-rmv|chr2:90001-100000	35.04619255
31|sk1-rmv|chr2:100001-110000	79.64701253
32|sk1-rmv|chr2:110001-120000	75.29920494
33|sk1-rmv|chr2:120001-130000	61.75845929
34|sk1-rmv|chr2:130001-140000	48.51912145
35|sk1-rmv|chr2:140001-150000	65.11915632
36|sk1-rmv|chr2:150001-160000	47.25320867
37|sk1-rmv|chr2:160001-170000	59.50543595
38|sk1-rmv|chr2:170001-180000	51.46538274
39|sk1-rmv|chr2:180001-190000	70.4163985
40|sk1-rmv|chr2:190001-200000	49.09933147
41|sk1-rmv|chr2:200001-210000	61.92423359
42|sk1-rmv|chr2:210001-220000	29.84690791
43|sk1-rmv|chr2:220001-230000	23.29128815
44|sk1-rmv|chr2:230001-240000	28.0158555
45|sk1-rmv|chr2:240001-250000	56.09952775
46|sk1-rmv|chr2:250001-260000	54.75826302
47|sk1-rmv|chr2:260001-270000	52.79911228
48|sk1-rmv|chr2:270001-280000	47.61489803
49|sk1-rmv|chr2:280001-290000	43.85483566
50|sk1-rmv|chr2:290001-300000	55.08227641
51|sk1-rmv|chr2:300001-310000	46.68806903
52|sk1-rmv|chr2:310001-320000	62.85859778
53|sk1-rmv|chr2:320001-330000	44.24666581
54|sk1-rmv|chr2:330001-340000	57.92304497
55|sk1-rmv|chr2:340001-350000	53.09298489
56|sk1-rmv|chr2:350001-360000	54.37396807
57|sk1-rmv|chr2:360001-370000	32.08486087
58|sk1-rmv|chr2:370001-380000	25.49910032
59|sk1-rmv|chr2:380001-390000	52.20383187
60|sk1-rmv|chr2:390001-400000	39.80090068
61|sk1-rmv|chr2:400001-410000	30.78880731
62|sk1-rmv|chr2:410001-420000	36.89231536
63|sk1-rmv|chr2:420001-430000	30.69084977
64|sk1-rmv|chr2:430001-440000	32.47669101
65|sk1-rmv|chr2:440001-450000	18.83045263
66|sk1-rmv|chr2:450001-460000	30.70592016
67|sk1-rmv|chr2:460001-470000	30.10310455
68|sk1-rmv|chr2:470001-480000	43.60617422
69|sk1-rmv|chr2:480001-490000	16.73566839
70|sk1-rmv|chr2:490001-500000	37.2992159
71|sk1-rmv|chr2:500001-510000	23.72832947
72|sk1-rmv|chr2:510001-520000	22.07812173
73|sk1-rmv|chr2:520001-530000	32.43901504
74|sk1-rmv|chr2:530001-540000	18.92087497
75|sk1-rmv|chr2:540001-550000	23.92424454
